index_ids,text
41,C: Program Files (x86) F-Secure PSB Ultralight sensor 1585128330 fsatpl.exe PiqEcqS1aL57vw4Uo2gD l8cenJZG3m3maEcZlIZO /ulsdk /mode=2 /namespace=ul_default.
42,C: Program Files (x86) F-Secure PSB Ultralight sensor 1585128330 fsatpl.exe YIQZsdMi6wHIxK33hSQT kEkbqKRkTlkDyy2T6lZ7 /ulsdk /mode=2 /namespace=ul_default.
43,C: Program Files (x86) F-Secure PSB Ultralight sensor 1585128330 fsatpl.exe ZufVknDDdxQ7457iNPO2 3fC4r8hxpx8aOz84hJoL /ulsdk /mode=2 /namespace=ul_default.
44,C: Program Files (x86) F-Secure PSB Ultralight sensor 1585128330 fsatpn.exe LlTd4o507FzrAI52mgBl 4prsVJNtQeYcxqMMpcB0 /ulsdk /mode=2 /namespace=ul_default.
45,C: Program Files (x86) F-Secure PSB Ultralight sensor 1585128330 fsatpn.exe RHRXxmiz0g1eNkzhwnJC t6w8aTffcErOxPgPi1aB /ulsdk /mode=2 /namespace=ul_default.
46,C: Program Files (x86) F-Secure PSB Ultralight sensor 1585128330 fsatpn.exe d5CpROV3pqdIk2lCKErK p36clX5ryZMIHaJu6S6y /ulsdk /mode=2 /namespace=ul_default.
47,C: Program Files (x86) F-Secure PSB Ultralight sensor 1585128330 fsatps.exe /ulsdk /namespace=ul_default.
48,C: Program Files (x86) F-Secure PSB Ultralight sensor 1596529558 fsatpl.exe Fl90WvTblKInma6lqiMJ gTVEc3BfuJQb7hAle9mY /ulsdk /mode=2 /namespace=ul_default.
49,C: Program Files (x86) F-Secure PSB Ultralight sensor 1596529558 fsatpl.exe GL1fc5N8r3J6AbeD74un C5ERRGWyeaFNRvaD24gl /ulsdk /mode=2 /namespace=ul_default.
50,C: Program Files (x86) F-Secure PSB Ultralight sensor 1596529558 fsatpl.exe NX1JPLh2zxusdEbMrDPw qU0HIVCLzVbjH7kRYkgl /ulsdk /mode=2 /namespace=ul_default.
51,C: Program Files (x86) F-Secure PSB Ultralight sensor 1596529558 fsatpn.exe HzQJZ26HMgjrxqWbUFFf DGREYB26VJtDlrT8UElZ /ulsdk /mode=2 /namespace=ul_default.
52,C: Program Files (x86) F-Secure PSB Ultralight sensor 1596529558 fsatpn.exe n9Rtb4KwIQF6eqkacIHy yBBe8YkJYTi4btH1m6rm /ulsdk /mode=2 /namespace=ul_default.
53,C: Program Files (x86) F-Secure PSB Ultralight sensor 1596529558 fsatpn.exe xC1jbnkVQiBKGqNsBWym mCjJKqJFsXhWIUTEYfFx /ulsdk /mode=2 /namespace=ul_default.
54,C: Program Files (x86) F-Secure PSB Ultralight sensor 1596529558 fsatps.exe /ulsdk /namespace=ul_default.
55,C: Program Files (x86) F-Secure PSB Ultralight sensor 1599569183 fsatpl.exe S0LKBnw0OQPHwH3Ei4gp gl8WsY1Ksv16oFklJqeN /ulsdk /mode=2 /namespace=ul_default.
56,C: Program Files (x86) F-Secure PSB Ultralight sensor 1599569183 fsatpl.exe hvht54W9fubA73wtexBj Gp2m06cu4tWJrMgj5q63 /ulsdk /mode=2 /namespace=ul_default.
57,C: Program Files (x86) F-Secure PSB Ultralight sensor 1599569183 fsatpl.exe zWUQU9k0KWnRwKk7zXYQ GJRcvmPajxPlKvdt7ocZ /ulsdk /mode=2 /namespace=ul_default.
58,C: Program Files (x86) F-Secure PSB Ultralight sensor 1599569183 fsatpn.exe FqFYlsyW7IYqhI9oaIL1 cjGpxWuRhunFVyUVSnbZ /ulsdk /mode=2 /namespace=ul_default.
59,C: Program Files (x86) F-Secure PSB Ultralight sensor 1599569183 fsatpn.exe Nrq8P5ISg3GlpZyoPWY4 d9Rt9AB7g5JTa9kXTVmd /ulsdk /mode=2 /namespace=ul_default.
60,C: Program Files (x86) F-Secure PSB Ultralight sensor 1599569183 fsatpn.exe kjELGGdCwoPPN8BxGUVW f6Nb1QsvICh5gnM4oSIQ /ulsdk /mode=2 /namespace=ul_default.
61,C: Program Files (x86) F-Secure PSB Ultralight sensor 1599569183 fsatps.exe /ulsdk /namespace=ul_default.
62,C: Program Files (x86) F-Secure PSB Ultralight ulcore 1592476117 fshoster64.exe --service --namespace ul_default.
63,C: Program Files (x86) F-Secure PSB Ultralight ulcore 1592476117 fshoster64.exe --service --namespace ul_default --id 2.
64,C: Program Files (x86) F-Secure PSB Ultralight ulcore 1592476117 fsorsp64.exe.
65,C: Program Files (x86) F-Secure PSB Ultralight ulcore 1594813445 fshoster64.exe --service --namespace ul_default.
66,C: Program Files (x86) F-Secure PSB Ultralight ulcore 1594813445 fshoster64.exe --service --namespace ul_default --id 2.
67,C: Program Files (x86) F-Secure PSB Ultralight ulcore 1594813445 fsorsp64.exe.
68,C: Program Files (x86) F-Secure PSB Ultralight ulcore 1594813445 fsulprothoster.exe --service --namespace ul_default --id 5.
69,C: Program Files (x86) F-Secure PSB Ultralight ulcore 1596540521 fshoster64.exe --service --namespace ul_default.
70,C: Program Files (x86) F-Secure PSB Ultralight ulcore 1596540521 fshoster64.exe --service --namespace ul_default --id 2.
71,C: Program Files (x86) F-Secure PSB Ultralight ulcore 1596540521 fsorsp64.exe.
72,C: Program Files (x86) F-Secure PSB Ultralight ulcore 1596540521 fsulprothoster.exe --service --namespace ul_default --id 5.
73,C: Program Files (x86) F-Secure PSB Ultralight ulcore 1598269046 fshoster64.exe --service --namespace ul_default.
74,C: Program Files (x86) F-Secure PSB Ultralight ulcore 1598269046 fshoster64.exe --service --namespace ul_default --id 2.
75,C: Program Files (x86) F-Secure PSB Ultralight ulcore 1598269046 fsorsp64.exe.
76,C: Program Files (x86) F-Secure PSB Ultralight ulcore 1598269046 fsulprothoster.exe --service --namespace ul_default --id 5.
77,C: Program Files (x86) F-Secure PSB Ultralight ulcore 1600258716 fshoster64.exe --service --namespace ul_default.
78,C: Program Files (x86) F-Secure PSB Ultralight ulcore 1600258716 fshoster64.exe --service --namespace ul_default --id 2.
79,C: Program Files (x86) F-Secure PSB Ultralight ulcore 1600258716 fsorsp64.exe.
80,C: Program Files (x86) F-Secure PSB Ultralight ulcore 1601904388 fshoster64.exe --service --namespace ul_default.
81,C: Program Files (x86) F-Secure PSB Ultralight ulcore 1601904388 fshoster64.exe --service --namespace ul_default --id 2.
82,C: Program Files (x86) F-Secure PSB Ultralight ulcore 1601904388 fsorsp64.exe.
83,C: Program Files (x86) F-Secure PSB Ultralight ulcore 1601904388 fsulprothoster.exe --service --namespace ul_default --id 5.
84,C: Program Files (x86) F-Secure PSB Ultralight ulcore 1602225647 fshoster64.exe --service --namespace ul_default.
85,C: Program Files (x86) F-Secure PSB Ultralight ulcore 1602225647 fshoster64.exe --service --namespace ul_default --id 2.
86,C: Program Files (x86) F-Secure PSB Ultralight ulcore 1602225647 fsorsp64.exe.
87,C: Program Files (x86) F-Secure PSB Ultralight ulcore 1602225647 fsulprothoster.exe --service --namespace ul_default --id 5.
88,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1592814450 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1592814450.
89,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1592819806 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1592819806.
90,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1592825703 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1592825703.
91,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1592882248 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1592882248.
92,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1592891108 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1592891108.
93,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1592900804 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1592900804.
94,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1592904452 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1592904452.
95,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1592968005 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1592968005.
96,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1592977553 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1592977553.
97,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1592988075 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1592988075.
98,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1592993209 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1592993209.
99,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1592999204 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1592999204.
100,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1593054882 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1593054882.
101,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1593062806 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1593062806.
102,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1593073654 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1593073654.
103,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1593079049 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1593079049.
104,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1593084917 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1593084917.
105,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1593140805 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1593140805.
106,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1593150308 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1593150308.
107,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1593159405 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1593159405.
108,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1593165402 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1593165402.
109,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1593400488 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1593400488.
110,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1593409489 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1593409489.
111,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1593418609 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1593418609.
112,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1593425694 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1593425694.
113,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1593449094 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1593449094.
114,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1593512206 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1593512206.
115,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1593518080 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1593518080.
116,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1593574004 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1593574004.
117,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1593581804 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1593581804.
118,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1593589005 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1593589005.
119,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1593596702 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1593596702.
120,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1593602207 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1593602207.
121,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1593659208 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1593659208.
122,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1593668208 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1593668208.
123,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1593677808 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1593677808.
124,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1593683810 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1593683810.
125,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1593690300 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1593690300.
126,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1593695206 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1593695206.
127,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1593746237 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1593746237.
128,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1593754607 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1593754607.
129,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1593764203 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1593764203.
130,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1593771893 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1593771893.
131,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1594010235 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1594010235.
132,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1594015006 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1594015006.
133,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1594021574 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1594021574.
134,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1594027046 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1594027046.
135,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1594031809 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1594031809.
136,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1594100706 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1594100706.
137,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1594109813 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1594109813.
138,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1594115811 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1594115811.
139,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1594177616 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1594177616.
140,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1594197310 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1594197310.
141,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1594202208 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1594202208.
142,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1594274094 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1594274094.
143,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1594283212 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1594283212.
144,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1594360348 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1594360348.
145,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1594369611 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1594369611.
146,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1594394102 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1594394102.
147,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1594610710 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1594610710.
148,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1594618609 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1594618609.
149,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1594629299 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1594629299.
150,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1594635303 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1594635303.
151,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1594651610 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1594651610.
152,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1594699603 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1594699603.
153,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1594714654 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1594714654.
154,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1594722414 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1594722414.
155,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1594782299 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1594782299.
156,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1594791902 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1594791902.
157,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1594798029 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1594798029.
158,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1594801004 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1594801004.
159,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1594808103 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1594808103.
160,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1594813009 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1594813009.
161,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1594870653 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1594870653.
162,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1594879015 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1594879015.
163,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1594888007 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1594888007.
164,C: Program Files (x86) F-Secure PSB Ultralight ulu 1591258926 ulu.exe --aua-channel= capricorn-win64 --aua-version= 1594899298 --aua-path= C: ProgramData F-Secure NS default GUTS2 capricorn-win64 1594899298.
